Tag Type,Tag Id,Time (UTC),RSSI,Latitude,Longitude,beep_number,tagFamily,payloadType,solar_mV,temperature_C
bluetooth,870614B1,2025-05-27 19:51:45.604950Z,-71,39.001052,-74.914417,51075,2,0,1560,21.68
radio434mhz,071E6661,2025-05-27 19:51:45.702344Z,-109,39.001052,-74.914417
bluetooth,23D9727E,2025-05-27 19:51:47.408987Z,-55,39.001056,-74.914415,50841,2,0,1554,33.84
bluetooth,E2A807D7,2025-05-27 19:51:47.456799Z,-81,39.001056,-74.914415,44443,1,0,1881,24.08
bluetooth,870614B1,2025-05-27 19:51:48.627374Z,-71,39.001056,-74.914415,43930,2,0,1560,22.06
radio434mhz,071E6661,2025-05-27 19:51:48.874129Z,-108,39.001056,-74.914415
userLocation,user,2025-05-27 19:51:50.027766Z,0,39.001061,-74.914417
radio434mhz,1E336107,2025-05-27 19:51:50.186437Z,-84,39.001061,-74.914417
bluetooth,23D9727E,2025-05-27 19:51:50.479982Z,-55,39.001061,-74.914417,50473,2,0,1554,33.74
bluetooth,870614B1,2025-05-27 19:51:51.651458Z,-71,39.001061,-74.914417,20463,2,0,1560,22.03
radio434mhz,071E6661,2025-05-27 19:51:52.041823Z,-106,39.001061,-74.914417
bluetooth,870614B1,2025-05-27 19:51:54.672547Z,-70,39.001065,-74.914419,34489,2,0,1560,22.19
radio434mhz,071E6661,2025-05-27 19:51:55.207565Z,-106,39.001064,-74.914419
radio434mhz,1E336107,2025-05-27 19:51:55.354128Z,-84,39.001064,-74.914419
bluetooth,23D9727E,2025-05-27 19:51:56.573808Z,-55,39.001064,-74.914420,44252,2,0,1555,33.79
bluetooth,870614B1,2025-05-27 19:51:57.694994Z,-72,39.001064,-74.914420,1433,2,0,1560,21.68
bluetooth,77AAF9E2,2025-05-27 19:51:58.084061Z,-81,39.001064,-74.914420,24683,1,0,1617,25.42
radio434mhz,071E6661,2025-05-27 19:51:58.377529Z,-109,39.001064,-74.914420
bluetooth,23D9727E,2025-05-27 19:51:59.644399Z,-55,39.001064,-74.914420,45340,2,0,1553,33.66
userLocation,user,2025-05-27 19:52:00.028176Z,0,39.001065,-74.914419
radio434mhz,1E336107,2025-05-27 19:52:00.521772Z,-84,39.001065,-74.914419
bluetooth,870614B1,2025-05-27 19:52:00.716994Z,-71,39.001065,-74.914419,41994,2,0,1560,22.21
radio434mhz,071E6661,2025-05-27 19:52:01.548518Z,-105,39.001066,-74.914420
bluetooth,23D9727E,2025-05-27 19:52:02.716336Z,-55,39.001067,-74.914419,34380,2,0,1554,33.66
bluetooth,870614B1,2025-05-27 19:52:03.788366Z,-70,39.001068,-74.914419,55305,2,0,1560,22.03
